sanskrit_root,pie_root,iecor_pie_root,set,pie_ends_with_laryngeal,gemini_pie_root,gemini_best_guess,wiktionary_pie_roots,wiktionary_pii_roots,wiktionary_status
भू,,,Y,Y,*bʰuH-,,,*bʰuH-,ok
एध्,,,Y,N,*h₁edʰ-,,*h₂eydʰ-,*Haydʰ-,ok
स्पर्ध्,,,Y,N,*sperdʰ-,,,,no_pie_found
गाध्,,,Y,N,*gʷadʰ-,,,,no_pie_found
बाध्,,,Y,N,*gʷedʰ-,,*bʰedʰ-; *bʰeydʰ-,*bʰādʰ-; -; *bʰandʰ-,ok
नाध्,,,Y,N,*nedʰ-,N,*neh₃dʰ-,*naHdʰ-,ok
नाथ्,,,Y,N,*knē-,N,,,no_pie_found
दध्,,,Y,Y,*dʰédʰeh₁-,,,,no_pie_found
स्कुन्द्,,,Y,N,*skend-,N,,,no_pie_found
श्विन्द्,,,Y,N,*sweid-,Y,,,no_pie_found
वन्द्,,,Y,N,*wendʰ-,,,,no_pie_found
भन्द्,,,Y,N,*bʰendʰ-,N,*bʰend-,,ok
मन्द्,mand-,,Y,N,*mend-,,,,no_pie_found
स्पन्द्,,,Y,N,*spend-,,*spHend-,,ok
क्लिन्द्,,,Y,N,*klei-,N,,,no_pie_found
मुद्,,,Y,N,*mud-,Y,*mewd-,,ok
दद्,,,Y,Y,*deh₃-,,,,no_pie_found
स्वद्,,,Y,N,*sweh₂d-,,*sweh₂d-,,ok
स्वर्द्,,,Y,N,*swer-,N,,,no_pie_found
ऊर्द्,,,Y,N,*werdʰ-,N,,,no_pie_found
कूर्द्,,,Y,N,*kers-,Y,*kerd-,,ok
खूर्द्,,,Y,N,*swerd-,Y,,,missingtitle
गूर्द्,,,Y,Y,*gʷerH-,Y,,,no_pie_found
गुद्,,,Y,N,*gʷewd-,Y,*gēu-,*gudá-,ok
सूद्,,,Y,N,*sewd-,,,,no_pie_found
ह्राद्,,,Y,N,*kʷred-,Y,,,missingtitle
ह्लाद्,,,Y,Y,*kʷelh₁-,Y,,,no_pie_found
स्वाद्,,,Y,N,*sweh₂d-,,*sweh₂d-,*swaHdás,ok
पर्द्,,,Y,N,*perd-,,*perd-,,ok
यत्,,,Y,Y,*yeh₁-,,*yet-,*yat-,ok
युत्,,,Y,N,*yewd-,N,,*yaw-,ok
जुत्,,,Y,N,*ǵewd-,Y,,,missingtitle
विथ्,,,Y,Y,*weyh₁-,Y,,,missingtitle
वेथ्,,,Y,N,*wedʰ-,N,,,missingtitle
श्रन्थ्,,,Y,N,*s(k)rendʰ-,,,,missingtitle
ग्रन्थ्,,,Y,N,*gʷrendʰ-,,*gre(n)tH-; *ger-,*grantH-,ok
कत्थ्,,,Y,N,*kʷet-,Y,,,missingtitle
अत्,at-,,Y,N,*h₁ed-,,*h₂et-,,ok
चित्,,,Y,N,*kʷey-,,*kʷeyt-; *kʷey-,,ok
च्युत्,,,Y,N,*kʷʰew-,,,,no_pie_found
श्चुत्,,,Y,N,*skewd-,N,,,no_pie_found
श्च्युत्,,,Y,N,*skewd-,N,,,missingtitle
ज्युत्,,,Y,N,*gyeu-,Y,,,no_pie_found
मन्थ्,,,Y,N,*menth-,,,,no_pie_found
कुन्थ्,,,Y,-,,Y,,,missingtitle
पुन्थ्,,,Y,N,*bʰunth-,Y,,,missingtitle
लुन्थ्,,,Y,N,*lendʰ-,N,,,missingtitle
मन्थ्,,,Y,N,*menth-,,,,no_pie_found
सिध्,,,N,Y,*seh₂-,,*ḱyesdʰ-,*sáydʰ,ok
सिध्,,,N,Y,*seh₂-,,*ḱyesdʰ-,*sáydʰ,ok
खाद्,,,Y,N,*ǵʰedʰ-,,,,no_pie_found
खद्,,,Y,N,*kh₂ed-,N,,,no_pie_found
बद्,,,Y,N,*gʷʰedʰ-,,,,no_sanskrit_section
गद्,,,Y,N,*gʷʰedʰ-,Y,*gʷet-,,ok
रद्,,,Y,N,*wred-,Y,,,no_sanskrit_section
नद्,,,Y,Y,*(s)neh₁-,Y,*ned-,*nad-; *nádati; -,ok
अर्द्,,,Y,N,*h₂erdʰ-,,,,missingtitle
नर्द्,,,Y,N,*nerd-,N,,,no_pie_found
गर्द्,,,Y,N,*gʷʰerdʰ-,Y,,,no_pie_found
तर्द्,,,Y,N,*terd-,Y,,,missingtitle
कर्द्,,,Y,N,*kerd-,Y,,,no_pie_found
खर्द्,,,Y,N,*gherd-,Y,,,missingtitle
अन्त्,anət-,,Y,N,*h₂ent-,N,*h₂ent-,*Hántas,ok
अन्द्,,,Y,N,*h₁néd-,N,,,missingtitle
इन्द्,,,Y,N,*h₂eidʰ-,N,,,no_pie_found
बिन्द्,,,Y,N,*bʰeydʰ-,,,,missingtitle
