sanskrit_root,set,iecor_pie_root,iecor_has_laryngeal,iecor_ends_H,iecor_ends_CH,original_set,authoritative_set,dhatu_classes
भन्द्,Y,*bʰendʰ-,N,N,N,Y,Y,1:Y
क्लिन्द्,Y,*k̑lei̯-,N,N,N,Y,Y,1:Y;1:Y
दद्,Y,*deh₃-,Y,N,N,Y,Y,1:Y
कूर्द्,Y,*kers-,N,N,N,Y,Y,1:Y
गूर्द्,Y,*gʷerH-,Y,Y,Y,Y,Y,1:Y
ह्लाद्,Y,*kʷelh₁-,Y,N,N,Y,Y,1:Y
अत्,Y,*h₁ed-,Y,N,N,Y,Y,1:Y
लुन्थ्,Y,*lendʰ-,N,N,N,Y,Y,1:Y
सिध्,N,*seh₂-,Y,N,N,N,mixed,1:Y;1:?;1:Y;4:N
सिध्,N,*seh₂-,Y,N,N,N,mixed,1:Y;1:?;1:Y;4:N
नद्,Y,*(s)neh₁-,Y,N,N,Y,Y,1:Y;10:Y
कर्द्,Y,*k̑erd-,N,N,N,Y,Y,1:Y
अन्त्,Y,*h₂ent-,Y,N,N,Y,Y,1:Y
इन्द्,Y,*h₂ei̯dʰ-,Y,N,N,Y,Y,1:Y
गण्ड्,Y,*gʷʰen-,N,N,N,Y,Y,1:Y;1:Y
क्लिन्द्,Y,*k̑lei̯-,N,N,N,Y,Y,1:Y;1:Y
शीक्,Y,*sekʷ-,N,N,N,Y,Y,1:Y;10:Y;10:Y
सीक्,Y,*sekʷ-,N,N,N,Y,Y,1:Y
रेक्,Y,*lei̯kʷ-,N,N,N,Y,Y,1:Y
सेक्,Y,*sekʷ-,N,N,N,Y,Y,1:Y
मङ्क्,Y,*men-,N,N,N,Y,Y,1:Y
लाघ्,Y,*h₁legʰ-,Y,N,N,Y,Y,1:Y
तक्,Y,*tekʷ-,N,N,N,Y,Y,1:Y
लाख्,Y,*legʰ-,N,N,N,Y,Y,1:Y
शाख्,Y,*sekʷ-,N,N,N,Y,Y,1:Y
मख्,Y,*magʰ-,N,N,N,Y,Y,1:Y
इख्,Y,*sekʷ-,N,N,N,Y,Y,1:Y
इङ्ख्,Y,*sekʷ-,N,N,N,Y,Y,1:Y
खर्ख्,Y,*g̑ʰers-,N,N,N,Y,Y,1:Y
भर्ब्,Y,*bʰer-,N,N,N,Y,Y,1:Y
शिङ्घ्,Y,*sengʷʰ-,N,N,N,Y,Y,1:Y
सच्,Y,*sekʷ-,N,N,N,Y,Y,1:Y;1:Y
शच्,Y,*sekʷ-,N,N,N,Y,Y,1:Y
मच्,Y,*mag̑-,N,N,N,Y,Y,1:Y
पञ्च्,Y,*penkʷe,N,N,N,Y,Y,1:Y;10:Y
एज्,Y,*h₂eg̑-,Y,N,N,Y,Y,1:Y;1:Y
काड्,Y,*k̑ad-,N,N,N,Y,Y,1:Y
तञ्च्,N,*tenk-,N,N,N,N,Y,1:Y;7:?
ग्रुच्,Y,*gʷʰer-,N,N,N,Y,Y,1:Y
सज्ज्,Y,*sed-,N,N,N,Y,Y,1:Y
मूर्छ्,Y,*mer-,N,N,N,Y,Y,1:Y
धृञ्ज्,Y,*dʰer-,N,N,N,Y,Y,1:Y
सल्,Y,*sal-,N,N,N,Y,Y,1:Y;1:Y;1:Y
भृष्,Y,*bʰerg̑ʰ-,N,N,N,Y,Y,1:Y
गर्ज्,Y,*g̑erh₂-,Y,N,N,Y,Y,1:Y;10:Y
तर्ज्,Y,*terkʷ-,N,N,N,Y,Y,1:Y;10:Y
कर्ज्,Y,*kers-,N,N,N,Y,Y,1:Y
अज्,Y,*h₂egʰ-,Y,N,N,Y,Y,1:Y
एज्,Y,*h₂eg̑-,Y,N,N,Y,Y,1:Y;1:Y
गृञ्ज्,Y,*gʷerh₂-,Y,N,N,Y,Y,1:Y
चेष्ट्,Y,*kʷei̯s-,N,N,N,Y,Y,1:Y
मण्ठ्,Y,*men-,N,N,N,Y,Y,1:Y
कुण्ड्,Y,*gʷʰen-,N,N,N,Y,Y,1:Y;1:Y;10:Y
भण्ड्,Y,*bʰendʰ-,N,N,N,Y,Y,1:Y;10:Y
होड्,Y,*sed-,N,N,N,Y,Y,1:Y;1:Y
बाड्,Y,*gʷeh₂-,Y,N,N,Y,Y,1:Y
वाड्,Y,*gʷeh₂-,Y,N,N,Y,Y,1:Y
शाड्,Y,*sed-,N,N,N,Y,Y,1:Y
मेड्,Y,*med-,N,N,N,Y,Y,1:Y
म्रेड्,Y,*meld-,N,N,N,Y,Y,1:Y
म्लेट्,Y,*melh₂-,Y,N,N,Y,Y,1:Y
अट्,Y,*h₂ed-,Y,N,N,Y,Y,1:Y
पट्,Y,*pet-,N,N,N,Y,Y,1:Y;10:Y
रट्,Y,*ret-,N,N,N,Y,Y,1:Y;1:Y
शट्,Y,*sekʷ-,N,N,N,Y,Y,1:Y
सट्,Y,*sed-,N,N,N,Y,Y,1:Y
कुण्ड्,Y,*gʷʰen-,N,N,N,Y,Y,1:Y;1:Y;10:Y
पठ्,Y,*peth₂-,Y,N,N,Y,Y,1:Y
हौड्,Y,*h₂ed-,Y,N,N,Y,Y,1:Y
रठ्,Y,*ret-,N,N,N,Y,Y,1:Y
रट्,Y,*ret-,N,N,N,Y,Y,1:Y;1:Y
हठ्,Y,*dʰegʷʰ-,N,N,N,Y,Y,1:Y
अड्ड्,Y,*h₂ed-,Y,N,N,Y,Y,1:Y
तूड्,Y,*(s)teu̯d-,N,N,N,Y,Y,1:Y
होड्,Y,*sed-,N,N,N,Y,Y,1:Y;1:Y
अड्,Y,*h₂ed-,Y,N,N,Y,Y,1:Y
गण्ड्,Y,*gʷʰen-,N,N,N,Y,Y,1:Y;1:Y
तेप्,Y,*tep-,N,N,N,Y,Y,1:Y
हेप्,Y,*seh₁p-,Y,N,N,Y,Y,1:Y
त्रप्,N,*trep-,N,N,N,N,,1:?
सिध्,N,*seh₂-,Y,N,N,N,mixed,1:Y;1:?;1:Y;4:N
पर्प्,Y,*per-,N,N,N,Y,Y,1:Y
बर्ब्,Y,*bʰer-,N,N,N,Y,Y,1:Y
मर्ब्,Y,*mer-,N,N,N,Y,Y,1:Y
कर्ब्,Y,*k̑er-,N,N,N,Y,Y,1:Y
खर्ब्,Y,*gʰer-,N,N,N,Y,Y,1:Y
घिण्ण्,Y,*gʷʰen-,N,N,N,Y,Y,1:Y
घुण्ण्,Y,*gʷʰen-,N,N,N,Y,Y,1:Y
घुण्,Y,*gʷʰen-,N,N,N,Y,Y,1:Y;6:Y
घूर्ण्,Y,*gʷʰer-,N,N,N,Y,Y,1:Y;6:Y
भाम्,Y,*bʰeh₂-,Y,N,N,Y,Y,1:Y
भण्,Y,*bʰeh₂-,Y,N,N,Y,Y,1:Y
मण्,Y,*men-,N,N,N,Y,Y,1:Y
धण्,Y,*dʰen-,N,N,N,Y,Y,1:Y
पैण्,Y,*pei̯H-,Y,Y,N,Y,Y,1:Y
ध्रण्,Y,*dʰer-,N,N,N,Y,Y,1:Y
बण्,Y,*bʰeh₂-,Y,N,N,Y,Y,1:Y
सन्,Y,*h₁es-,Y,N,N,Y,Y,1:Y;8:Y
द्रम्,Y,*drem-,N,N,N,Y,Y,1:Y
मीम्,Y,*meh₁-,Y,N,N,Y,Y,1:Y
